{TSPName : "a280", BestKnownSolution: 2579,
{ name: 115, x:  56, y:  81},
{ name: 116, x:  48, y:  83},
{ name: 117, x:  56, y:  89},
{ name: 118, x:  56, y:  97},
{ name: 119, x: 104, y:  97},
{ name: 120, x: 104, y: 105},
{ name: 121, x: 104, y: 113},
{ name: 122, x: 104, y: 121},
{ name: 123, x: 104, y: 129},
{ name: 124, x: 104, y: 137},
{ name: 125, x: 104, y: 145},
{ name: 126, x: 116, y: 145},
{ name: 127, x: 124, y: 145},
{ name: 128, x: 132, y: 145},
{ name: 129, x: 132, y: 137},
{ name: 130, x: 140, y: 137},
{ name: 131, x: 148, y: 137},
{ name: 132, x: 156, y: 137},
{ name: 133, x: 164, y: 137},
{ name: 134, x: 172, y: 125},
{ name: 135, x: 172, y: 117},
{ name: 136, x: 172, y: 109},
{ name: 137, x: 172, y: 101},
{ name: 138, x: 172, y:  93},
{ name: 139, x: 172, y:  85},
{ name: 140, x: 180, y:  85},
{ name: 141, x: 180, y:  77},
{ name: 142, x: 180, y:  69},
{ name: 143, x: 180, y:  61},
{ name: 144, x: 180, y:  53},
{ name: 145, x: 172, y:  53},
{ name: 146, x: 172, y:  61},
{ name: 147, x: 172, y:  69},
{ name: 148, x: 172, y:  77},
{ name: 149, x: 164, y:  81},
{ name: 150, x: 148, y:  85},
{ name: 151, x: 124, y:  85},
{ name: 152, x: 124, y:  93},
{ name: 153, x: 124, y: 109},
{ name: 154, x: 124, y: 125},
{ name: 155, x: 124, y: 117},
{ name: 156, x: 124, y: 101},
{ name: 157, x: 104, y:  89},
{ name: 158, x: 104, y:  81},
{ name: 159, x: 104, y:  73},
{ name: 160, x: 104, y:  65},
{ name: 161, x: 104, y:  49},
{ name: 162, x: 104, y:  41},
{ name: 163, x: 104, y:  33},
{ name: 164, x: 104, y:  25},
{ name: 165, x: 104, y:  17},
{ name: 166, x:  92, y:   9},
{ name: 167, x:  80, y:   9},
{ name: 168, x:  72, y:   9},
{ name: 169, x:  64, y:  21},
{ name: 170, x:  72, y:  25},
{ name: 171, x:  80, y:  25},
{ name: 172, x:  80, y:  25},
{ name: 173, x:  80, y:  41},
{ name: 174, x:  88, y:  49},
{ name: 175, x: 104, y:  57},
{ name: 176, x: 124, y:  69},
{ name: 177, x: 124, y:  77},
{ name: 178, x: 132, y:  81},
{ name: 179, x: 140, y:  65},
{ name: 180, x: 132, y:  61},
{ name: 181, x: 124, y:  61},
{ name: 182, x: 124, y:  53},
{ name: 183, x: 124, y:  45},
{ name: 184, x: 124, y:  37},
{ name: 185, x: 124, y:  29},
{ name: 186, x: 132, y:  21},
{ name: 187, x: 124, y:  21},
{ name: 188, x: 120, y:   9},
{ name: 189, x: 128, y:   9},
{ name: 190, x: 136, y:   9},
{ name: 191, x: 148, y:   9},
{ name: 192, x: 162, y:   9},
{ name: 193, x: 156, y:  25},
{ name: 194, x: 172, y:  21},
{ name: 195, x: 180, y:  21},
{ name: 196, x: 180, y:  29},
{ name: 197, x: 172, y:  29},
{ name: 198, x: 172, y:  37},
{ name: 199, x: 172, y:  45},
{ name: 200, x: 180, y:  45},
{ name: 201, x: 180, y:  37},
{ name: 202, x: 188, y:  41},
{ name: 203, x: 196, y:  49},
{ name: 204, x: 204, y:  57},
{ name: 205, x: 212, y:  65},
{ name: 206, x: 220, y:  73},
{ name: 207, x: 228, y:  69},
{ name: 208, x: 228, y:  77},
{ name: 209, x: 236, y:  77},
{ name: 210, x: 236, y:  69},
{ name: 211, x: 236, y:  61},
{ name: 212, x: 228, y:  61},
{ name: 213, x: 228, y:  53},
{ name: 214, x: 236, y:  53},
{ name: 215, x: 236, y:  45},
{ name: 216, x: 228, y:  45},
{ name: 217, x: 228, y:  37},
{ name: 218, x: 236, y:  37},
{ name: 219, x: 236, y:  29},
{ name: 220, x: 228, y:  29},
{ name: 221, x: 228, y:  21},
{ name: 222, x: 236, y:  21},
{ name: 223, x: 252, y:  21},
{ name: 224, x: 260, y:  29},
{ name: 225, x: 260, y:  37},
{ name: 226, x: 260, y:  45},
{ name: 227, x: 260, y:  53},
{ name: 228, x: 260, y:  61},
{ name: 229, x: 260, y:  69},
{ name: 230, x: 260, y:  77},
{ name: 231, x: 276, y:  77},
{ name: 232, x: 276, y:  69},
{ name: 233, x: 276, y:  61},
{ name: 234, x: 276, y:  53},
{ name: 235, x: 284, y:  53},
{ name: 236, x: 284, y:  61},
{ name: 237, x: 284, y:  69},
{ name: 238, x: 284, y:  77},
{ name: 239, x: 284, y:  85},
{ name: 240, x: 284, y:  93},
{ name: 241, x: 284, y: 101},
{ name: 242, x: 288, y: 109},
{ name: 243, x: 280, y: 109},
{ name: 244, x: 276, y: 101},
{ name: 245, x: 276, y:  93},
{ name: 246, x: 276, y:  85},
{ name: 247, x: 268, y:  97},
{ name: 248, x: 260, y: 109},
{ name: 249, x: 252, y: 101},
{ name: 250, x: 260, y:  93},
{ name: 251, x: 260, y:  85},
{ name: 252, x: 236, y:  85},
{ name: 253, x: 228, y:  85},
{ name: 254, x: 228, y:  93},
{ name: 255, x: 236, y:  93},
{ name: 256, x: 236, y: 101},
{ name: 257, x: 228, y: 101},
{ name: 258, x: 228, y: 109},
{ name: 259, x: 228, y: 117},
{ name: 260, x: 228, y: 125},
{ name: 261, x: 220, y: 125},
{ name: 262, x: 212, y: 117},
{ name: 263, x: 204, y: 109},
{ name: 264, x: 196, y: 101},
{ name: 265, x: 188, y:  93},
{ name: 266, x: 180, y:  93},
{ name: 267, x: 180, y: 101},
{ name: 268, x: 180, y: 109},
{ name: 269, x: 180, y: 117},
{ name: 270, x: 180, y: 125},
{ name: 271, x: 196, y: 145},
{ name: 272, x: 204, y: 145},
{ name: 273, x: 212, y: 145},
{ name: 274, x: 220, y: 145},
{ name: 275, x: 228, y: 145},
{ name: 276, x: 236, y: 145},
{ name: 277, x: 246, y: 141},
{ name: 278, x: 252, y: 125},
{ name: 279, x: 260, y: 129},
{ name: 280, x: 280, y: 133}]}
